ℹ️ Stream 'credit_applications_stream' already exists.
🚀 Real-time credit streaming engine started...
/home/music/GitHub/credit-application-ingestion-engine/supporting_material/stream_generator.py:49: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to rℹ️ Stream 'credit_applications_stream' already exists.
🚀 Real-time credit streaming engine started...
📥 Dispatched Event: APP-136689 | Amount: $41633
📥 Dispatched Event: APP-273623 | Amount: $36319
📥 Dispatched Event: APP-447046 | Amount: $-5000
📥 Dispatched Event: APP-905378 | Amount: $16978
📥 Dispatched Event: APP-840638 | Amount: $-5000
📥 Dispatched Event: APP-461330 | Amount: $35220
📥 Dispatched Event: APP-845656 | Amount: $24373
📥 Dispatched Event: APP-504976 | Amount: $29781
📥 Dispatched Event: APP-521608 | Amount: $-5000
📥 Dispatched Event: APP-514147 | Amount: $48230
📥 Dispatched Event: APP-758137 | Amount: $15418
📥 Dispatched Event: APP-996845 | Amount: $33265
📥 Dispatched Event: APP-321516 | Amount: $23320
📥 Dispatched Event: APP-570966 | Amount: $22738
📥 Dispatched Event: APP-426862 | Amount: $15426
📥 Dispatched Event: APP-606385 | Amount: $13173
📥 Dispatched Event: APP-464667 | Amount: $28008
📥 Dispatched Event: APP-919790 | Amount: $21344
📥 Dispatched Event: APP-253774 | Amount: $34111
📥 Dispatched Event: APP-382971 | Amount: $19474
📥 Dispatched Event: APP-858273 | Amount: $11111
📥 Dispatched Event: APP-419121 | Amount: $20770
📥 Dispatched Event: APP-502581 | Amount: $31858
📥 Dispatched Event: APP-235267 | Amount: $34640
📥 Dispatched Event: APP-238339 | Amount: $-5000
📥 Dispatched Event: APP-313162 | Amount: $29576
📥 Dispatched Event: APP-615710 | Amount: $11029
📥 Dispatched Event: APP-646991 | Amount: $-5000
📥 Dispatched Event: APP-192854 | Amount: $-5000
📥 Dispatched Event: APP-677763 | Amount: $29564
📥 Dispatched Event: APP-590578 | Amount: $19654
📥 Dispatched Event: APP-598716 | Amount: $11865
📥 Dispatched Event: APP-977673 | Amount: $38248
tched Event: APP-497563 | Amount: $33504
📥 Dispatched Event: APP-911209 | Amount: $24044
📥 Dispatched Event: APP-613104 | Amount: $10328
📥 Dispatched Event: APP-904627 | Amount: $23585
📥 Dispatched Event: APP-577483 | Amount: $6031
📥 Dispatched Event: APP-133777 | Amount: $11324
📥 Dispatched Event: APP-354805 | Amount: $31652
📥 Dispatched Event: APP-379208 | Amount: $23643
⚠️ Injecting duplicate record on purpose: APP-379208
📥 Dispatched Event: APP-379208 | Amount: $23643
📥 Dispatched Event: APP-262120 | Amount: $45598
📥 Dispatched Event: APP-927837 | Amount: $47066
📥 Dispatched Event: APP-352428 | Amount: $5445
📥 Dispatched Event: APP-553770 | Amount: $36606
📥 Dispatched Event: APP-252970 | Amount: $11165
📥 Dispatched Event: APP-452539 | Amount: $19635
📥 Dispatched Event: APP-728753 | Amount: $46882
📥 Dispatched Event: APP-341700 | Amount: $13948
📥 Dispatched Event: APP-599066 | Amount: $25441
📥 Dispatched Event: APP-315146 | Amount: $33041
📥 Dispatched Event: APP-948684 | Amount: $24056
📥 Dispatched Event: APP-839800 | Amount: $17351
📥 Dispatched Event: APP-299510 | Amount: $44057
📥 Dispatched Event: APP-978389 | Amount: $9609
📥 Dispatched Event: APP-645356 | Amount: $6116
📥 Dispatched Event: APP-773535 | Amount: $37824
📥 Dispatched Event: APP-699975 | Amount: $5294
📥 Dispatched Event: APP-786134 | Amount: $21238
📥 Dispatched Event: APP-817370 | Amount: $39658
📥 Dispatched Event: APP-547659 | Amount: $41936
📥 Dispatched Event: APP-930958 | Amount: $27315
📥 Dispatched Event: APP-884221 | Amount: $28526
📥 Dispatched Event: APP-507265 | Amount: $25805
⚠️ Injecting duplicate record on purpose: APP-930958
📥 Dispatched Event: APP-930958 | Amount: $27315
📥 Dispatched Event: APP-420680 | Amount: $13937
📥 Dispatched Event: APP-168570 | Amount: $19078
📥 Dispatched Event: APP-546735 | Amount: $-5000
📥 Dispatched Event: APP-311741 | Amount: $11448
📥 Dispatched Event: APP-315574 | Amount: $17196
📥 Dispatched Event: APP-605395 | Amount: $5874
📥 Dispatched Event: APP-785924 | Amount: $43093
📥 Dispatched Event: APP-330662 | Amount: $24950
📥 Dispatched Event: APP-571810 | Amount: $41032
📥 Dispatched Event: APP-624983 | Amount: $5797
📥 Dispatched Event: APP-218145 | Amount: $17160
📥 Dispatched Event: APP-201164 | Amount: $5503
📥 Dispatched Event: APP-406845 | Amount: $29659
📥 Dispatched Event: APP-179401 | Amount: $31756
📥 Dispatched Event: APP-421446 | Amount: $9390
📥 Dispatched Event: APP-676225 | Amount: $31169
📥 Dispatched Event: APP-374369 | Amount: $5479
📥 Dispatched Event: APP-590078 | Amount: $28132
📥 Dispatched Event: APP-957575 | Amount: $22269
📥 Dispatched Event: APP-286446 | Amount: $16030
📥 Dispatched Event: APP-852584 | Amount: $24204
📥 Dispatched Event: APP-365852 | Amount: $21175
📥 Dispatched Event: APP-138290 | Amount: $37063
📥 Dispatched Event: APP-417999 | Amount: $6872
📥 Dispatched Event: APP-593326 | Amount: $29173
📥 Dispatched Event: APP-884750 | Amount: $5850
📥 Dispatched Event: APP-492393 | Amount: $23107
📥 Dispatched Event: APP-908415 | Amount: $30537
